layer1;node;loss;time(seg)
elu;6;0.00011082855780841783;1.7028288841247559
relu;5;0.00046417739940807223;1.7157642841339111
relu;6;0.00047073239693418145;1.6942613124847412
softmax;6;0.0004745691840071231;1.7900776863098145
tanh;6;0.000542030087672174;1.7131917476654053
hard_sigmoid;6;0.0006417172262445092;1.7817745208740234
softplus;6;0.0007388906669802964;2.2524139881134033
tanh;4;0.0007937488844618201;2.098118782043457
softmax;4;0.0008745536906644702;1.7813704013824463
hard_sigmoid;4;0.0010280838469043374;1.7596111297607422
softplus;4;0.0011981907300651073;1.6425361633300781
elu;3;0.0012127417139708996;1.6450424194335938
hard_sigmoid;2;0.001218665624037385;1.776306390762329
selu;5;0.0012593313585966825;1.7090733051300049
sigmoid;3;0.0012797975214198232;1.9527561664581299
swish;6;0.0013912816066294909;1.7299184799194336
relu;3;0.0013966922415420413;1.7001326084136963
relu;2;0.001430634525604546;1.842301368713379
linear;6;0.0014799665659666061;1.671743392944336
hard_sigmoid;5;0.0016408537048846483;1.7308869361877441
linear;4;0.0016426271758973598;1.6988682746887207
linear;5;0.0017036334611475468;1.6761701107025146
swish;5;0.0017178489360958338;2.0942351818084717
tanh;5;0.001769615220837295;1.7463738918304443
softplus;5;0.0017825725954025984;1.7001368999481201
softmax;5;0.0018770190654322505;1.7441368103027344
swish;3;0.0020475781057029963;1.745483160018921
softsign;6;0.002223092829808593;2.163583755493164
swish;4;0.0022765337489545345;1.7469005584716797
elu;4;0.002309586852788925;1.6444597244262695
selu;4;0.002353941323235631;1.7074644565582275
selu;6;0.002808424411341548;2.042916774749756
softplus;3;0.003010824089869857;2.055391550064087
sigmoid;6;0.0032179115805774927;2.096759080886841
elu;5;0.0035954425111413;1.6689791679382324
tanh;3;0.003856279654428363;2.0756709575653076
softsign;4;0.004253402817994356;1.7285704612731934
hard_sigmoid;3;0.005164070520550013;1.7895393371582031
softmax;2;0.0068061333149671555;1.953916311264038
tanh;2;0.007322477176785469;1.8648178577423096
sigmoid;4;0.007404454052448273;2.3506388664245605
selu;3;0.007450288627296686;1.7119815349578857
sigmoid;5;0.007701294030994177;2.138209342956543
softsign;3;0.007960539311170578;1.7194569110870361
softsign;5;0.008058530278503895;2.003584146499634
sigmoid;2;0.008437666110694408;1.7343134880065918
elu;2;0.009117336012423038;1.801607370376587
selu;2;0.012986857444047928;1.7226550579071045
softsign;2;0.01958272233605385;1.6956021785736084
linear;3;0.029112311080098152;1.7084786891937256
softmax;3;0.03688489645719528;2.3526670932769775
relu;4;0.03786281868815422;1.685938835144043
softplus;2;0.04176408424973488;2.014946699142456
exponential;5;0.055029142647981644;1.6888067722320557
linear;2;0.11557945609092712;1.6886351108551025
exponential;6;0.12236278504133224;1.7916467189788818
swish;2;0.27850785851478577;1.7394607067108154
exponential;3;591669.3125;1.7115070819854736
exponential;2;60073.5546875;1.671602725982666
exponential;4;93.04046630859375;1.671281099319458
